FL, B15, B30, B45, B60, B75, A90, A75, A60, A45, A30, A15, FR, vel-10, vel-9, vel-8, vel-7, vel-6, vel-5, vel-4, vel-3, vel-2, vel-1, steering_angle, throttle, brake
0.999375, 1.071741, 1.258390, 1.649601, 2.518178, 4.611253, 9.613461, 13.672592, 4.938529, 3.752184, 3.330770, 3.019039, 2.901290, 41.665940, 44.522597, 42.692931, 42.902370, 44.721320, 44.437571, 45.711563, 47.542253, 46.970142, 51.720493, 0.021027, 0.640620, -0.000000
1.092875, 1.180996, 1.390466, 1.830367, 2.567898, 4.563778, 9.193377, 13.132852, 5.184328, 3.572449, 3.178742, 3.003205, 2.891930, 44.522597, 42.692931, 42.902370, 44.721320, 44.437571, 45.711563, 47.542253, 46.970142, 51.720493, 47.635762, 0.024017, 0.321416, -0.000000
1.200608, 1.300922, 1.532479, 1.871964, 2.643928, 4.558814, 8.798913, 12.615696, 5.358775, 3.381640, 3.017805, 2.897799, 2.874515, 42.692931, 42.902370, 44.721320, 44.437571, 45.711563, 47.542253, 46.970142, 51.720493, 47.635762, 47.337471, 0.030223, 0.115068, -0.000000
1.320016, 1.406341, 1.576874, 1.936144, 2.759351, 4.620983, 8.447348, 12.137981, 5.437333, 3.176587, 2.845511, 2.741425, 2.833555, 42.902370, 44.721320, 44.437571, 45.711563, 47.542253, 46.970142, 51.720493, 47.635762, 47.337471, 48.166503, 0.034205, -0.000000, 0.027772
1.393419, 1.452437, 1.635771, 2.020415, 2.822269, 4.741414, 8.125620, 11.686797, 7.013721, 3.164688, 2.665318, 2.577450, 2.673966, 44.721320, 44.437571, 45.711563, 47.542253, 46.970142, 51.720493, 47.635762, 47.337471, 48.166503, 47.873200, 0.038302, -0.000000, 0.313486
1.443066, 1.510314, 1.709201, 2.125139, 2.871148, 4.770563, 7.833434, 11.262129, 14.646416, 3.205489, 2.479194, 2.407216, 2.507492, 44.437571, 45.711563, 47.542253, 46.970142, 51.720493, 47.635762, 47.337471, 48.166503, 47.873200, 47.350171, 0.044082, -0.000000, 0.585940
1.503942, 1.581137, 1.799035, 2.167331, 2.952499, 4.791855, 7.580434, 10.873598, 14.223455, 3.214379, 2.430746, 2.231145, 2.334534, 45.711563, 47.542253, 46.970142, 51.720493, 47.635762, 47.337471, 48.166503, 47.873200, 47.350171, 46.678625, 0.047353, -0.000000, 0.812510
2.321954, 2.276090, 2.394488, 2.631775, 3.015787, 3.838123, 5.115018, 7.009626, 9.703266, 12.465484, 2.740850, 2.039353, 1.725725, 30.481040, 29.901435, 28.913585, 28.586984, 28.434507, 28.170908, 28.156770, 28.189308, 28.390733, 28.450869, 0.115745, 0.321416, -0.000000
2.305295, 2.274633, 2.409437, 2.571428, 2.971497, 3.744871, 5.064874, 6.884259, 9.516490, 12.322231, 2.781162, 2.099621, 1.788039, 29.901435, 28.913585, 28.586984, 28.434507, 28.170908, 28.156770, 28.189308, 28.390733, 28.450869, 28.300799, 0.123388, 0.305547, -0.000000
2.300593, 2.285588, 2.350335, 2.523944, 2.943128, 3.666405, 5.041351, 6.779510, 9.342603, 12.196221, 2.799370, 2.143913, 1.842747, 28.913585, 28.586984, 28.434507, 28.170908, 28.156770, 28.189308, 28.390733, 28.450869, 28.300799, 28.254526, 0.131962, 0.305547, -0.000000
